"crime_id","crime_name","case_id"
"7598","贩卖毒品罪","4047"
"7599","贩卖毒品罪","4048"
"7600","贩卖毒品罪","4049"
"7601","贩卖毒品罪","4050"
"7602","贩卖毒品罪","4051"
"7603","贩卖毒品罪","4052"
"7604","非法持有枪支罪","4052"
"7605","贩卖毒品罪","4053"
"7606","贩卖毒品罪","4054"
"7607","贩卖毒品罪","4055"
"7608","贩卖毒品罪","4056"
"7609","贩卖毒品罪","4057"
"7610","贩卖毒品罪","4058"
"7611","贩卖毒品罪","4059"
"7612","贩卖毒品罪","4060"
"7613","贩卖毒品罪","4061"
"7614","贩卖毒品罪","4062"
"7615","贩卖毒品罪","4063"
"7616","贩卖毒品罪","4064"
"7617","贩卖毒品罪","4065"
"7618","贩卖毒品罪","4066"
"7619","贩卖毒品罪","4067"
"7620","贩卖毒品罪","4068"
"7621","贩卖毒品罪","4069"
"7622","贩卖毒品罪","4070"
"7623","贩卖毒品罪","4071"
"7624","贩卖毒品罪","4072"
"7625","贩卖毒品罪","4073"
"7626","贩卖毒品罪","4074"
"7627","运输毒品罪","4074"
"7628","贩卖毒品罪","4075"
